id,product_id,customer_id,quantity,order_date,amount,delivery_status
O001,P011,C005,289,2026-03-22,,待排产
O002,P012,C005,275,2026-03-22,15131,待排产
O003,P012,C004,168,2026-07-04,39488,已交付
O004,P009,C006,109,,78481,已交付
O005,P008,C001,127,2026-06-27,,待排产
O006,P012,C003,268,2026-08-05,71806,已交付
O007,P009,C006,180,2026-06-19,77693,已交付
O008,P002,C002,163,2026-04-15,44269,生产中
O009,P003,C002,155,2026-03-13,6541,待排产
O010,P011,C003,12,2026-05-26,49176,已交付
O011,P002,C003,20,2026-02-15,15845,已交付
O012,P002,C005,66,,,已延期
O013,P009,C002,103,2026-01-06,26261,待排产
O014,P012,C005,167,2026-05-01,77122,已延期
O015,P005,C002,283,2026-01-02,16061,待排产
O016,P012,C001,166,2026-03-10,26667,已交付
O017,P009,C002,176,2026-07-17,43796,生产中
O018,P006,C003,241,2026-03-14,7782,已交付
O019,P002,,17,2026-02-14,62814,已延期
O020,P010,C006,257,2026-01-26,87730,已延期
O001,P011,C005,289,2026-03-22,,待排产
