id,device_name,device_type,workshop,power_kw,status,temp_c,vibration_mm_s,device_age_years,maintainer
E001,焊接机器人,,焊接车间,98.8,停机,64.2,4.61,6,赵工
E002,数控车床,焊接设备,焊接车间,50.9,备用,45.7,1.57,,陈工
E003,数控车床,铸造设备,机加车间,45.7,运行中,27.2,4.16,4,张工
E004,压铸机,,铸造车间,28.2,检修,44.7,5.43,9,赵工
E005,装配线,,,100.0,运行中,,7.35,11,张工
E006,装配线,焊接设备,总装车间,,备用,,7.6,9,陈工
E007,焊接机器人,铸造设备,机加车间,89.2,运行中,76.8,5.61,11,张工
E008,压铸机,装配设备,机加车间,20.9,运行中,39.8,6.12,3,赵工
E009,装配线,,总装车间,82.3,备用,78.2,7.02,15,张工
E010,数控车床,装配设备,铸造车间,23.6,备用,85.0,5.64,11,李工
E001,焊接机器人,,焊接车间,98.8,停机,64.2,4.61,6,赵工
