id,product_id,customer_id,quantity,order_date,amount,delivery_status
O001,P008,C001,123,2026-01-06,46644,待排产
O002,P010,C003,41,2026-04-28,14287,生产中
O003,P005,C002,241,2026-07-14,58974,待排产
O004,P006,C001,21,2026-05-16,37503,已延期
O005,P006,C006,263,2026-01-05,41995,已交付
O006,,C002,193,2026-04-18,80323,已交付
O007,P010,C003,61,2026-07-04,41848,待排产
O008,P002,C005,139,2026-04-25,85225,已交付
O009,P011,C005,291,2026-05-19,2616,待排产
O010,P002,C004,52,2026-07-17,50623,待排产
O011,P012,C006,172,2026-07-17,42449,已交付
O012,P008,C006,214,2026-04-28,46156,
O013,P003,C004,70,2026-05-06,85045,已交付
O014,P007,C006,238,,28814,待排产
O015,P008,C005,151,2026-03-26,28702,
O016,,C003,1640,2026-07-13,21730,已交付
O017,P005,,,2026-05-19,77983,
O018,P005,C003,263,2026-07-01,77361,
O019,P012,C001,171,2026-04-20,67582,已交付
O020,P003,,14,2026-07-28,15922,已交付
O001,P008,C001,123,2026-01-06,46644,待排产
