equipment_id,device_name,device_type,status,workshop,power_kw,vibration_mm_s,temp_c,current_a
E001,锅炉A,锅炉设备,运行中,锅炉车间,5500,2.12,57.8,18.3
E002,锅炉B,锅炉设备,运行中,锅炉车间,3500,3.51,45.0,23.6
E003,汽轮机A,汽轮机,运行中,汽机车间,9000,1.04,80.1,20.5
E004,汽轮机B,汽轮机,检修,汽机车间,3500,1.96,53.8,20.7
E005,发电机A,发电机,运行中,主厂房,9000,3.71,70.1,27.8
E006,主变压器,变压器,运行中,升压站,1200,0.72,50.9,31.3
E007,引风机A,辅助设备,运行中,锅炉车间,9000,2.77,69.0,9.7
E008,给水泵A,辅助设备,备用,汽机车间,1800,3.57,81.3,39.6
E009,送风机B,辅助设备,运行中,锅炉车间,3500,1.96,58.0,38.9
E010,凝汽器,辅助设备,运行中,汽机车间,1800,1.92,47.2,17.9
E011,脱硫塔A,环保设备,运行中,环保车间,3500,2.9,45.5,35.0
E012,输煤皮带A,输煤设备,待机,输煤车间,1800,2.3,49.9,42.2
