id,device_name,device_type,workshop,power_kw,status,temp_c,vibration_mm_s,device_age_years,maintainer
E001,插件机,SMT设备,SMT车间,,备用,36.3,,14,陈工
E002,插件机,组装设备,SMT车间,14.7,停机,33.4,1.96,13,陈工
E003,AOI检测仪,,SMT车间,108.5,备用,78.2,7.19,11,赵工
E004,AOI检测仪,SMT设备,组装车间,33.1,备用,22.0,0.56,12,
E005,回流焊炉,组装设备,品质部,118.2,运行中,20.9,3.52,1,张工
E006,插件机,检测设备,组装车间,66.0,备用,89.3,1.65,,张工
E007,回流焊炉,SMT设备,组装车间,49.1,运行中,82.2,3.46,1,张工
E008,回流焊炉,,,,检修,83.1,5.71,2,王工
E009,,SMT设备,组装车间,82.0,备用,76.2,6.79,15,赵工
E010,,组装设备,品质部,7.2,停机,73.6,0.94,,张工
E001,插件机,SMT设备,SMT车间,,备用,36.3,,14,陈工
