id,product_id,customer_id,quantity,order_date,amount,delivery_status
O001,P005,C001,203,2026-04-20,45987,已交付
O002,P011,C005,14,2026-03-17,76504,已延期
O003,P001,C002,280,2026-01-09,82880,已交付
O004,P011,,70,2026-04-04,22440,生产中
O005,P010,C001,102,2026-01-16,61723,已延期
O006,P011,C002,47,2026-08-01,,已交付
O007,P012,C003,,,77405,已延期
O008,P012,C003,8,2026-05-08,62495,已延期
O009,P008,C005,298,,40576,待排产
O010,P012,C001,105,2026-02-05,72702,待排产
O011,P011,C003,13,2026-03-23,76337,已交付
O012,P001,C005,52,2026-08-01,9385,已交付
O013,P005,C005,,2026-02-12,57958,生产中
O014,P012,C005,190,2026-01-10,89903,已延期
O015,P011,C003,20,2026-02-24,73926,已交付
O016,P003,C001,176,2026-08-19,-62982,已交付
O017,,C004,276,2026-08-16,10083,待排产
O018,P005,C003,297,2026-01-05,24774,
O019,P004,C002,92,2026-07-10,16819,已交付
O020,P007,C003,95,2026-02-04,33020,已交付
O001,P005,C001,203,2026-04-20,45987,已交付
