id,product_name,product_type,spec_value,material,price,stock_qty,status
P001,连接器,结构件,-330.6,,5183,1860,试产
P002,PCB板,半导体,85.2,实木,,,在产
P003,PCB板,,24.4,硅胶,,564,停产
P004,连接器,被动元件,319.6,硅胶,5044,1329,试产
P005,电源芯片,被动元件,209.2,碳钢,1812,753,在产
P006,贴片电阻,基板,447.0,碳钢,7995,909,试产
P007,贴片电阻,半导体,455.9,碳钢,1392,1454,
P008,PCB板,基板,393.2,,3185,73,试产
P009,陶瓷电容,被动元件,344.3,ABS,38260,109,停产
P010,连接器,,65.5,不锈钢,5374,1408,在产
P011,贴片电阻,基板,315.4,碳钢,,190,停产
P012,电源芯片,被动元件,246.1,PP,3714,734,试产
P001,连接器,结构件,-330.6,,5183,1860,试产
