id,raw_name,supplier,batch,expiry_date,stock_qty,status,qc_result
RM001,生牛乳,牧场A,B20260701,2026-07-05,500,running,合格
RM002,生牛乳,牧场A,B20260702,2026-07-06,800,running,合格
RM003,小麦粉,粮商B,B20260703,2026-12-01,1200,running,合格
RM004,鸡蛋,农场C,B20260704,2026-07-10,600,running,合格
RM005,白砂糖,糖业D,B20260705,2027-01-01,900,running,合格
RM006,草莓果酱,果品厂E,B20260706,2026-09-01,300,stopped,合格
RM007,食用油,油脂F,B20260707,2027-03-01,400,running,合格
RM008,盐,盐业G,B20260708,2028-01-01,200,idle,不合格
RM009,饮用水,水厂H,B20260709,2026-12-31,1500,running,合格
RM010,猪肉馅,肉联厂I,B20260710,2026-07-03,250,stopped,合格
