id,device_name,device_type,workshop,power_kw,status,temp_c,vibration_mm_s,device_age_years,maintainer
E001,钻孔中心,,板式车间,26.4,检修,60.2,13.4,9,
E002,推台锯,木工设备,板式车间,85.4,运行中,65.0,1.2,12,李工
E003,封边机,木工设备,开料车间,35.9,运行中,75.9,6.47,6,王工
E004,钻孔中心,木工设备,开料车间,60.7,备用,63.9,1.71,,赵工
E005,砂光机,木工设备,开料车间,20.4,停机,39.9,2.35,1,王工
E006,推台锯,木工设备,油漆车间,58.5,检修,83.9,7.93,7,李工
E007,,木工设备,油漆车间,19.6,停机,61.1,1.89,,陈工
E008,封边机,木工设备,开料车间,15.4,停机,23.6,,2,张工
E009,砂光机,木工设备,油漆车间,49.5,备用,57.8,3.7,7,王工
E010,砂光机,,油漆车间,12.4,,54.7,3.87,8,赵工
E001,钻孔中心,,板式车间,26.4,检修,60.2,13.4,9,
