id,product_id,customer_id,quantity,order_date,amount,delivery_status
O001,P001,C001,200,2026-03-09,66034,生产中
O002,P008,C004,277,2026-06-04,30192,已交付
O003,P005,C004,27,2026-06-05,29971,生产中
O004,P005,C001,41,2026-02-25,2133,已延期
O005,P012,C003,300,,59443,已交付
O006,P003,C001,283,2026-08-26,54403,已延期
O007,,C001,153,2026-07-16,3563,已交付
O008,P004,C004,227,2026-07-09,53372,待排产
O009,P011,C005,277,2026-03-03,80782,已交付
O010,P004,C003,106,2026-02-08,13591,生产中
O011,,C001,68,2026-05-13,54947,已交付
O012,P008,,27,2026-07-26,41437,待排产
O013,P008,C006,72,2026-08-01,47851,已交付
O014,P009,C001,,2026-06-18,40231,待排产
O015,P009,C005,,2026-03-21,76048,已延期
O016,P010,C002,,2026-07-27,25511,已交付
O017,P009,C002,277,2026-05-28,3374,已延期
O018,P002,C004,182,2026-03-09,60937,已交付
O019,P001,C006,105,2026-03-25,7051,
O020,P002,C003,183,2026-02-11,88662,已延期
O001,P001,C001,200,2026-03-09,66034,生产中
