id,product_id,customer_id,quantity,order_date,amount,delivery_status
O001,P010,C002,58,2026-07-01,40788,已延期
O002,P006,C004,114,2026-04-22,48506,待排产
O003,P005,C005,222,2026-04-21,,已交付
O004,P002,C006,,2026-07-11,77031,已交付
O005,P003,C002,41,2026-08-15,56493,已交付
O006,P002,C004,151,2026-08-03,3264,已交付
O007,P005,C006,38,2026-08-10,78359,生产中
O008,P012,C001,,2026-01-24,55950,已交付
O009,P012,C001,67,2026-03-21,82358,已延期
O010,P001,C003,297,2026-07-04,,已交付
O011,P007,C003,269,2026-06-06,48650,已延期
O012,P004,C003,136,2026-08-08,,已延期
O013,P009,C001,121,2026-01-17,1115,已延期
O014,P010,C001,173,2026-07-12,18757,待排产
O015,P012,C006,59,,75809,已延期
O016,P009,C005,258,2026-04-18,50037,
O017,,C005,,2026-01-20,73471,已交付
O018,P008,C003,272,2026-01-21,2409,已交付
O019,P007,C006,,2026-07-16,49032,
O020,P001,C002,251,2026-04-03,22629,已交付
O001,P010,C002,58,2026-07-01,40788,已延期
