id,product_name,product_type,spec_value,material,price,stock_qty,status
P001,锌合金拉手,,437.6,铝合金,7418,,试产
P002,六角螺栓,五金件,60.8,实木,6974,1972,在产
P003,压铆螺母,五金件,489.5,碳钢,2259,,试产
P004,压铆螺母,紧固件,162.8,冷轧板,7153,85,
P005,不锈钢铰链,紧固件,498.7,碳钢,,1683,试产
P006,六角螺栓,五金件,166.1,实木,4690,1662,在产
P007,压铆螺母,紧固件,420.5,硅胶,6781,779,试产
P008,,五金件,448.5,硅胶,4149,,试产
P009,不锈钢铰链,五金件,14.0,不锈钢,,269,试产
P010,压铆螺母,紧固件,78.4,不锈钢,4393,306,停产
P011,六角螺栓,紧固件,254.1,冷轧板,-1044,,停产
P012,锌合金拉手,五金件,448.2,,5228,976,停产
P001,锌合金拉手,,437.6,铝合金,7418,,试产
