fuel_id,fuel_type,consumption_t,calorific_value_kj,stock_t,supplier,ash_pct,sulfur_pct
F01,褐煤,1301.0,25000,1036.0,晋能供应,20.3,2.25
F02,烟煤,1237.0,25000,2519.0,晋能供应,9.6,1.78
F03,天然气,1562.0,25000,2660.0,华源物流,19.4,2.47
F04,烟煤,909.0,36000,2501.0,华源物流,12.2,0.8
F05,烟煤,1052.0,18000,1196.0,晋能供应,22.9,0.56
F06,烟煤,891.0,24000,2922.0,晋能供应,10.8,1.42
F07,褐煤,2356.0,24000,912.0,华源物流,24.8,0.96
F08,烟煤,1313.0,25000,887.0,内蒙古煤业,11.7,0.52
F09,烟煤,2146.0,24000,625.0,中石油,16.5,2.19
F10,褐煤,902.0,24000,2628.0,华源物流,18.1,1.82
