record_id,unit_id,date,gross_output_mwh,load_mw,main_steam_temp_c,main_steam_pressure_mpa,feed_water_temp_c,condenser_vacuum_kpa,heat_rate_kj_kwh
R001,U002,2026-07-22,464.3,545.9,522.8,23.4,250.3,-92.2,7293.0
R002,U003,2026-07-07,550.4,426.6,565.7,20.1,223.2,-93.3,7986.0
R003,U003,2026-07-24,532.0,587.3,540.0,18.0,259.9,-91.4,7327.0
R004,U001,2026-07-28,408.5,500.8,559.6,19.8,213.2,-92.3,8595.0
R005,U003,2026-07-18,603.8,303.7,556.0,22.1,236.8,-93.1,8097.0
R006,U001,2026-07-10,493.0,445.2,567.7,23.9,223.2,-91.5,7450.0
R007,U001,2026-07-28,542.6,569.3,545.4,17.8,228.7,-93.9,8535.0
R008,U001,2026-07-20,464.3,306.2,566.5,23.9,251.6,-92.8,7281.0
R009,U001,2026-07-03,570.3,561.1,568.9,20.8,216.3,-90.4,8526.0
R010,U002,2026-07-09,517.2,494.1,568.2,24.4,247.8,-90.2,8198.0
R011,U004,2026-07-22,549.0,440.2,545.9,17.1,221.2,-92.6,8024.0
R012,U002,2026-07-19,437.3,322.7,551.6,18.1,255.3,-89.0,7299.0
