id,product_id,customer_id,quantity,sale_date,amount
S001,P006,C005,17,2026-06-27,32470
S002,P007,C003,21,2026-06-23,71127
S003,P003,C003,33,2026-06-28,102069
S004,P003,C006,21,2026-06-19,49350
S005,P008,C007,16,2026-07-08,55392
S006,P008,C003,9,2026-06-17,33093
S007,P008,C001,12,2026-07-03,34200
S008,P002,C006,46,2026-07-08,69736
S009,P005,C001,42,2026-06-28,117852
S010,P005,C003,13,2026-06-05,50817
S011,P007,C001,8,2026-07-04,23216
S012,P004,C005,15,2026-06-05,49470
S013,P007,C004,56,2026-06-09,127232
S014,P008,C003,22,2026-06-25,57816
S015,P002,C004,54,2026-06-13,204606
S016,P006,C002,52,2026-06-10,102180
S017,P003,C003,39,2026-06-04,72306
S018,P007,C003,27,2026-07-11,66096
S019,P003,C006,54,2026-06-23,92664
S020,P007,C004,24,2026-06-09,53640
S021,P003,C008,46,2026-06-02,167210
S022,P004,C007,48,2026-06-17,91056
S023,P008,C002,57,2026-06-12,123177
S024,P008,C006,21,2026-07-09,58443
S025,P001,C007,6,2026-06-12,16386
S026,P003,C001,23,2026-06-20,86871
S027,P005,C002,36,2026-06-06,117036
S028,P001,C006,15,2026-06-22,59760
S029,P006,C006,56,2026-06-26,91896
S030,P005,C004,40,2026-06-03,84680
