id,device_name,device_type,workshop,power_kw,status,temp_c,vibration_mm_s,device_age_years,maintainer
E001,破碎机,成型设备,注塑车间,42.5,停机,72.1,3.1,9,张工
E002,破碎机,成型设备,注塑车间,49.0,停机,77.9,3.86,8,李工
E003,破碎机,辅助设备,薄膜车间,109.3,检修,60.4,0.78,3,赵工
E004,吹膜机,成型设备,注塑车间,67.5,停机,21.1,6.71,6,赵工
E005,破碎机,成型设备,注塑车间,-87.9,运行中,60.7,3.86,5,张工
E006,破碎机,成型设备,回收车间,12.7,检修,68.7,6.0,3,赵工
E007,挤出机,辅助设备,薄膜车间,55.7,检修,49.9,3.72,5,李工
E008,破碎机,成型设备,注塑车间,19.2,备用,24.6,0.74,4,赵工
E009,挤出机,成型设备,挤出车间,28.9,检修,39.8,3.99,13,赵工
E010,未知,成型设备,回收车间,114.4,停机,60.4,5.11,1,李工
