id,product_id,customer_id,quantity,order_date,amount,delivery_status
O001,P011,C002,283,2026-07-17,84533,已交付
O002,P008,C003,225,2026-03-16,37070,已交付
O003,P009,C004,38,,53090,已延期
O004,P001,C005,186,2026-04-09,50481,已交付
O005,P009,C006,161,2026-01-22,,已延期
O006,P001,C004,58,2026-08-01,47028,
O007,P001,C001,26,2026-08-02,,待排产
O008,P006,C004,246,2026-01-10,64741,已延期
O009,P007,C006,86,2026-06-15,66177,已交付
O010,P003,C005,213,2026-01-13,5430,生产中
O011,P008,,294,2026-02-19,36304,
O012,P006,C003,256,2026-02-18,-74352,已交付
O013,,C001,112,2026-05-25,-21419,生产中
O014,P011,C004,172,2026-05-28,82806,已交付
O015,P006,C005,150,2026-06-27,84411,
O016,P009,C006,284,2026-06-10,48465,已交付
O017,P012,C001,50,2026-05-06,17101,生产中
O018,P005,C005,320,2026-08-14,14865,已交付
O019,P009,C003,70,2026-04-12,26055,已交付
O020,P002,C001,,2026-07-08,83258,已交付
O001,P011,C002,283,2026-07-17,84533,已交付
