id,product_name,product_type,spec_value,material,price,stock_qty,status
P001,汽车内饰件,工业件,423.4,实木,5637,1302,在产
P002,PP塑料件,薄膜,453.3,碳钢,784,804,在产
P003,塑料周转箱,薄膜,46.6,碳钢,5109,1096,试产
P004,塑料周转箱,工业件,74.2,碳钢,6614,428,停产
P005,汽车内饰件,管材,37.9,铝合金,1750,1669,停产
P006,汽车内饰件,工业件,298.9,实木,4461,1204,在产
P007,BOPP薄膜,管材,178.5,冷轧板,2360,1703,在产
P008,汽车内饰件,工业件,321.6,,149,1412,在产
P009,汽车内饰件,管材,479.7,实木,7976,,在产
P010,,包装,366.1,ABS,4205,566,停产
P011,BOPP薄膜,工业件,397.1,铝合金,5962,,
P012,汽车内饰件,工业件,411.2,铝合金,7966,1397,试产
P001,汽车内饰件,工业件,423.4,实木,5637,1302,在产
