id,device_name,device_type,workshop,power_kw,status,temp_c,vibration_mm_s,device_age_years,maintainer
E001,平缝机,织造设备,染整车间,1137.0,运行中,71.4,5.43,4,张工
E002,喷气织机,织造设备,染整车间,36.6,运行中,873.0,5.88,14,李工
E003,定型机,织造设备,染整车间,51.7,停机,41.1,5.43,9,陈工
E004,未知,染整设备,针织车间,8.5,运行中,53.2,1.85,8,赵工
E005,喷气织机,织造设备,染整车间,114.2,备用,70.4,7.58,7,赵工
E006,平缝机,织造设备,织造车间,102.9,检修,40.4,2.96,2,张工
E007,喷气织机,织造设备,针织车间,68.9,停机,76.3,7.28,12,赵工
E008,定型机,染整设备,织造车间,45.2,运行中,57.4,4.83,7,张工
E009,定型机,缝制设备,缝制车间,12.2,备用,87.1,5.12,14,王工
E010,喷气织机,织造设备,染整车间,116.7,备用,84.4,5.73,1,李工
