id,product_id,customer_id,quantity,order_date,amount,delivery_status
O001,P002,C002,115,2026-06-15,56208,待排产
O002,P002,C001,286,2026-03-24,25468,生产中
O003,P001,C005,211,2026-07-20,18212,生产中
O004,P011,C003,158,2026-05-20,48607,生产中
O005,P002,C006,228,2026-01-05,20729,生产中
O006,P003,C001,74,2026-06-12,3590,生产中
O007,P005,C006,158,2026-05-13,59224,生产中
O008,P012,C001,21,2026-05-05,47986,已延期
O009,P002,C006,157,2026-07-10,65668,生产中
O010,P003,C005,204,2026-05-01,56208,已交付
O011,P007,C003,1720,2026-08-27,84305,生产中
O012,P009,C005,184,2026-08-13,41337,生产中
O013,P012,C005,134,2026-04-25,83991,生产中
O014,P002,C001,91,2026-01-02,72782,已交付
O015,P010,C004,-279,2026-01-13,84375,生产中
O016,P005,C006,94,2026-07-06,79554,生产中
O017,P009,C003,158,2026-01-23,53193,已延期
O018,P002,C001,243,2026-06-07,78401,已交付
O019,P002,C006,126,2026-06-12,81737,已交付
O020,P011,C001,186,2026-05-18,36617,生产中
