id,product_name,product_type,spec_value,material,price,stock_qty,status
P001,全棉梭织面料,成衣,413.7,铝合金,2270,961,停产
P002,运动T恤,成衣,31.5,冷轧板,7015,381,试产
P003,羊毛衫,面料,104.1,PP,1118,1883,在产
P004,牛仔裤,针织成衣,392.4,铝合金,6908,235,在产
P005,羊毛衫,成衣,454.8,ABS,6927,919,在产
P006,涤纶针织布,面料,499.5,铝合金,1572,1727,在产
P007,涤纶针织布,面料,58.1,实木,,973,停产
P008,涤纶针织布,成衣,331.8,ABS,3394,392,停产
P009,运动T恤,成衣,169.1,铝合金,3645,1507,在产
P010,牛仔裤,针织成衣,301.9,硅胶,175,9030,在产
P011,羊毛衫,面料,107.8,碳钢,3119,768,试产
P012,牛仔裤,面料,225.1,PP,2828,403,
P001,全棉梭织面料,成衣,413.7,铝合金,2270,961,停产
